Rank,WSID,Team DST,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Denver (DEN)DEN DST,,,4,7,5.6,1.2
2,,Chicago (CHI)CHI DST,,,1,2,1.5,0.5
3,,Baltimore (BAL)BAL DST,,,4,16,8.2,4.4
4,,Jacksonville (JAC)JAC DST,,,1,3,2.3,0.8
5,,Minnesota (MIN)MIN DST,,,1,5,2.8,1.5
6,,Philadelphia (PHI)PHI DST,,,3,14,9.4,4.2
7,,Los Angeles (LAR)LAR DST,,,3,7,5.8,1.6
8,,Houston (HOU)HOU DST,,,4,9,6.5,2.1
9,,Los Angeles (LAC)LAC DST,,,4,10,7.0,2.2
10,,Carolina (CAR)CAR DST,,,6,17,12.2,3.8
11,,New England (NE)NE DST,,,1,18,13.2,6.2
12,,New Orleans (NO)NO DST,,,8,13,9.8,2.0
13,,Cleveland (CLE)CLE DST,,,4,14,10.3,3.8
14,,Seattle (SEA)SEA DST,,,9,25,15.4,6.5
15,,Pittsburgh (PIT)PIT DST,,,7,22,17.2,5.3
16,,Atlanta (ATL)ATL DST,,,9,19,13.5,3.8
17,,Buffalo (BUF)BUF DST,,,12,15,13.5,1.1
18,,Tennessee (TEN)TEN DST,,,2,26,18.4,8.4
19,,Arizona (ARI)ARI DST,,,12,19,15.5,2.5
20,,Green Bay (GB)GB DST,,,8,30,19.8,7.0
21,,Dallas (DAL)DAL DST,,,10,24,16.8,5.0
22,,New York (NYJ)NYJ DST,,,9,18,12.3,4.0
23,,Cincinnati (CIN)CIN DST,,,17,29,21.3,4.6
24,,Kansas City (KC)KC DST,,,23,24,23.5,0.5
25,,Detroit (DET)DET DST,,,22,31,24.8,3.6
26,,San Francisco (SF)SF DST,,,19,28,25.0,3.7
27,,Indianapolis (IND)IND DST,,,21,28,25.0,2.5
28,,New York (NYG)NYG DST,,,25,29,26.8,1.5
29,,Miami (MIA)MIA DST,,,27,28,27.3,0.4
30,,Washington (WAS)WAS DST,,,24,32,28.0,4.0
31,,Tampa Bay (TB)TB DST,,,26,31,28.5,2.5
32,,Oakland (OAK)OAK DST,,,30,32,31.0,1.0
